timestamp,speed_bin,position_bin,k_anonymity,l_diversity,delta_presence
2024-08-22 09:30:00,2.5,"(30.0, 20.0)",2,2,2
2024-08-22 09:30:00,2.0,"(0.0, 20.0)",2,1,2
2024-08-22 09:30:00,0.5,"(10.0, 20.0)",20,3,6
2024-08-22 09:30:00,0.0,"(10.0, 20.0)",80,5,10
2024-08-22 09:30:00,2.5,"(30.0, 40.0)",3,1,3
2024-08-22 09:30:00,1.5,"(40.0, 40.0)",15,1,3
2024-08-22 09:30:00,0.5,"(20.0, 40.0)",6,1,3
2024-08-22 09:30:00,1.0,"(30.0, 0.0)",56,2,7
2024-08-22 09:30:00,2.5,"(40.0, 40.0)",3,1,3
2024-08-22 09:30:00,1.0,"(50.0, 50.0)",18,1,2
2024-08-22 09:30:00,1.0,"(10.0, 20.0)",29,3,4
2024-08-22 09:30:00,0.5,"(0.0, 40.0)",10,3,5
2024-08-22 09:30:00,2.0,"(40.0, 30.0)",1,1,1
2024-08-22 09:30:00,3.0,"(20.0, 40.0)",1,1,1
2024-08-22 09:30:00,0.0,"(0.0, 20.0)",59,4,8
2024-08-22 09:30:00,0.5,"(30.0, 20.0)",18,2,9
2024-08-22 09:30:00,1.0,"(10.0, 30.0)",34,2,5
2024-08-22 09:30:00,2.5,"(20.0, 40.0)",4,2,4
2024-08-22 09:30:00,0.0,"(40.0, 10.0)",56,4,7
2024-08-22 09:30:00,0.0,"(40.0, 30.0)",79,5,11
2024-08-22 09:30:00,1.0,"(0.0, 30.0)",20,1,3
2024-08-22 09:30:00,2.0,"(20.0, 40.0)",1,1,1
2024-08-22 09:30:00,3.0,"(40.0, 20.0)",1,1,1
2024-08-22 09:30:00,2.5,"(0.0, 30.0)",8,2,6
2024-08-22 09:30:00,2.5,"(10.0, 0.0)",7,1,7
2024-08-22 09:30:00,1.5,"(20.0, 40.0)",2,1,2
2024-08-22 09:30:00,0.0,"(10.0, 30.0)",57,4,7
2024-08-22 09:30:00,1.0,"(40.0, 30.0)",37,3,6
2024-08-22 09:30:00,2.5,"(0.0, 20.0)",3,2,3
2024-08-22 09:30:00,2.5,"(40.0, 20.0)",4,2,4
2024-08-22 09:30:00,0.5,"(20.0, 0.0)",2,1,2
2024-08-22 09:30:00,1.5,"(50.0, 0.0)",9,1,1
2024-08-22 09:30:00,2.5,"(50.0, 40.0)",2,1,2
2024-08-22 09:30:00,3.0,"(50.0, 10.0)",1,1,1
2024-08-22 09:30:00,2.5,"(0.0, 0.0)",5,2,5
2024-08-22 09:30:00,1.5,"(40.0, 50.0)",17,1,2
2024-08-22 09:30:00,1.0,"(0.0, 50.0)",51,2,6
2024-08-22 09:30:00,0.0,"(40.0, 40.0)",66,2,9
2024-08-22 09:30:00,0.5,"(50.0, 0.0)",9,1,1
2024-08-22 09:30:00,1.0,"(50.0, 10.0)",39,2,7
2024-08-22 09:30:00,5.5,"(0.0, 30.0)",2,1,1
2024-08-22 09:30:00,1.5,"(0.0, 40.0)",11,2,3
2024-08-22 09:30:00,0.5,"(50.0, 20.0)",2,1,2
2024-08-22 09:30:00,1.0,"(20.0, 40.0)",48,3,6
2024-08-22 09:30:00,2.0,"(20.0, 10.0)",2,1,2
2024-08-22 09:30:00,0.0,"(0.0, 0.0)",70,4,10
2024-08-22 09:30:00,0.5,"(10.0, 40.0)",15,2,3
2024-08-22 09:30:00,1.5,"(20.0, 0.0)",28,2,4
2024-08-22 09:30:00,1.5,"(40.0, 0.0)",27,1,3
2024-08-22 09:30:00,2.5,"(0.0, 10.0)",1,1,1
2024-08-22 09:30:00,2.0,"(40.0, 10.0)",1,1,1
2024-08-22 09:30:00,0.0,"(30.0, 50.0)",112,3,14
2024-08-22 09:30:00,2.5,"(20.0, 20.0)",7,1,7
2024-08-22 09:30:00,0.0,"(30.0, 10.0)",48,5,6
2024-08-22 09:30:00,3.0,"(0.0, 40.0)",2,1,2
2024-08-22 09:30:00,0.5,"(0.0, 10.0)",11,2,2
2024-08-22 09:30:00,1.0,"(0.0, 0.0)",28,2,4
2024-08-22 09:30:00,0.5,"(0.0, 20.0)",3,1,2
2024-08-22 09:30:00,4.0,"(30.0, 20.0)",3,1,1
2024-08-22 09:30:00,2.0,"(30.0, 30.0)",1,1,1
2024-08-22 09:30:00,1.0,"(10.0, 40.0)",35,2,5
2024-08-22 09:30:00,1.5,"(0.0, 30.0)",2,1,1
2024-08-22 09:30:00,0.5,"(10.0, 0.0)",9,1,1
2024-08-22 09:30:00,1.0,"(20.0, 10.0)",29,2,4
2024-08-22 09:30:00,1.5,"(10.0, 30.0)",9,1,1
2024-08-22 09:30:00,1.0,"(20.0, 30.0)",55,1,7
2024-08-22 09:30:00,0.5,"(40.0, 50.0)",21,3,5
2024-08-22 09:30:00,3.0,"(50.0, 20.0)",1,1,1
2024-08-22 09:30:00,0.0,"(30.0, 40.0)",65,4,8
2024-08-22 09:30:00,1.5,"(20.0, 20.0)",10,2,2
2024-08-22 09:30:00,1.5,"(30.0, 30.0)",1,1,1
2024-08-22 09:30:00,1.0,"(30.0, 50.0)",38,2,5
2024-08-22 09:30:00,1.5,"(0.0, 50.0)",19,2,3
2024-08-22 09:30:00,1.0,"(10.0, 50.0)",35,3,6
2024-08-22 09:30:00,2.5,"(10.0, 10.0)",2,1,2
2024-08-22 09:30:00,1.0,"(50.0, 30.0)",32,2,4
2024-08-22 09:30:00,1.0,"(30.0, 10.0)",13,1,2
2024-08-22 09:30:00,2.5,"(10.0, 20.0)",5,2,5
2024-08-22 09:30:00,2.0,"(10.0, 30.0)",1,1,1
2024-08-22 09:30:00,1.5,"(50.0, 10.0)",19,3,3
2024-08-22 09:30:00,0.5,"(50.0, 10.0)",10,2,7
2024-08-22 09:30:00,1.5,"(10.0, 50.0)",19,2,4
2024-08-22 09:30:00,0.0,"(50.0, 30.0)",51,4,7
2024-08-22 09:30:00,1.0,"(40.0, 20.0)",14,1,3
